approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
0.08565508,0.7424862,889.77,1503.2899453,0.9508035331964493,177,355,1.5020711,-0.008514688,727040,198822.40178656578,34170880,0.0896129
0.097363956,0.72146153,696.53,1737.45173362,0.9458380043506622,180,356,1.50578,-0.008762497,729088,199357.09010100365,34267136,0.14783975
0.098695606,0.7164956,809.95,1665.7955031599997,0.9534479826688766,177,357,1.5300553,-0.006999031,731136,199898.4204106331,34363392,0.099431366
0.08289808,0.75164926,752.63,1461.2998735699998,0.9499895758926868,179,358,1.5342437,-0.010328173,733184,200433.45026755333,34459648,0.107945226
0.08015773,0.7156489,817.55,1528.0860984800001,0.9408040642738342,177,359,1.559376,-0.007059578,735232,200976.0865664482,34555904,0.10064998
0.8753583,0.7309726,887.6,1522.7478620600002,0.6721537411212921,179,360,1.5474944,-0.007250758,737280,201513.0976076126,34652160,0.77560735
0.09377505,0.7303077,839.15,1546.5217384700002,0.9609269201755524,177,361,1.5371232,-0.009710198,739328,202056.39487576485,34748416,0.087108605
0.0671273,0.76034224,980.37,1618.4559292700003,0.95053855702281,176,362,1.52867,-0.009140244,741376,202601.80442857742,34844672,0.12620531
0.06407201,0.7482884,731.27,1632.37780118,0.9565165340900421,177,363,1.5683203,-0.008963923,743424,203144.28077292442,34940928,0.09372265
0.14142305,0.7180981,875.22,1703.5097067100003,0.7393417656421661,180,364,1.5385822,-0.008014532,745472,203676.96281766891,35037184,0.85109913
0.09621255,0.71387756,854.3,1522.9249151200002,0.944700550287962,178,365,1.5135516,-0.009240003,747520,204214.8293004036,35133440,0.11719956
0.061837673,0.77468157,801.46,1570.34187341,0.9578759372234344,179,366,1.5769596,-0.009426798,749568,204752.19385695457,35229696,0.09125538
0.06745727,0.7055638,955.63,1429.5554340300002,0.9440939426422119,179,367,1.5239612,-0.008418909,751616,205289.06533026695,35325952,0.101342544
0.13259539,0.6860507,882.99,1691.83378034,0.7948150634765625,179,368,1.5019726,-0.006531999,753664,205826.57767271996,35422208,0.466372
0.096816026,0.72436786,957.94,1709.33666235,0.9447310417890549,178,369,1.5293503,-0.00784534,755712,206365.1255133152,35518464,0.115292385
0.08313384,0.69538003,987.84,1460.8002634800002,0.9591784365475178,177,370,1.5052657,-0.0077251447,757760,206908.48315882683,35614720,0.08348965
0.09518516,0.7156956,857.19,1676.1002519600004,0.7932051569223404,179,371,1.5396876,-0.005930037,759808,207445.12213397026,35710976,0.5022484
0.108338214,0.7296948,810.12,1504.9903805299996,0.9527573585510254,178,372,1.5295475,-0.009484166,761856,207984.66800904274,35807232,0.099238954
0.065704145,0.7779931,895.47,1606.8039798,0.9413993619382381,178,373,1.5324978,-0.0085304305,763904,208525.41410970688,35903488,0.116328344
0.06711515,0.73084277,707.56,1492.7735577000003,0.7844828814268112,178,374,1.5471004,-0.0057207597,765952,209066.05670380592,35999744,0.44865867
0.084492944,0.72169524,1062.83,1756.6277922,0.8217302560806274,178,375,1.5104016,-0.008966329,768000,209605.18196940422,36096000,0.49526864
0.06800736,0.7442523,691.6,1592.98181931,0.792822003364563,178,376,1.5629612,-0.007404001,770048,210147.43113017082,36192256,0.48162764
0.06053425,0.77284795,953.75,1699.0593641599996,0.7189290821552277,179,377,1.5487459,-0.010269667,772096,210685.17374253273,36288512,0.8474535
0.09243673,0.73970973,793.29,1858.06042272,0.8139565885066986,180,378,1.5245147,-0.007513742,774144,211218.08663392067,36384768,0.51358926
0.07890804,0.76821965,951.43,1610.9598495300002,0.9570333026349545,178,379,1.5431165,-0.0107364785,776192,211757.73353505135,36481024,0.104000986
0.15032983,0.749639,902.0,1822.0009549099998,0.8383531421422958,179,380,1.5083929,-0.009007875,778240,212295.1482810974,36577280,0.5167969
0.07158829,0.7381462,825.56,1483.4185148299998,0.7679218798875809,179,381,1.5514334,-0.008301763,780288,212830.61341166496,36673536,0.45237172
0.085064515,0.7518648,746.96,1519.6356377700001,0.776187002658844,181,382,1.6015859,-0.005422899,782336,213361.21392822266,36769792,0.46053508
0.09617312,0.71372956,1358.99,1944.87583233,0.9537190683186054,177,383,1.5001683,-0.007762976,784384,213902.8050031662,36866048,0.11437339
0.084035195,0.6812744,997.97,1838.95425996,0.9461965300142765,177,384,1.5063332,-0.006713627,786432,214445.78895759583,36962304,0.125191
0.07650633,0.7172618,1073.17,1864.44615928,0.7912561148405075,177,385,1.5511218,-0.0078035844,788480,214986.69284391403,37058560,0.48165184
0.09481789,0.75259984,712.68,1621.5445937599998,0.9583593234419823,178,386,1.5316576,-0.009714471,790528,215526.79743933678,37154816,0.11054184
0.088749334,0.7645757,904.32,1765.3967353499997,0.9505044482648373,177,387,1.5382317,-0.009040248,792576,216069.740234375,37251072,0.13133684
0.08855706,0.7151554,750.36,1637.2867147100003,0.8119638562202454,176,388,1.5466597,-0.009301439,794624,216614.97379255295,37347328,0.4686757
0.058607835,0.72525346,910.9,1608.7520727199997,0.9431796409189701,176,389,1.5481141,-0.009869562,796672,217159.80445098877,37443584,0.12053596
0.09136264,0.71107775,920.93,1642.62485613,0.8442136645317078,176,390,1.5125028,-0.010369894,798720,217705.39661049843,37539840,0.46992335
0.090842724,0.7199032,775.62,1548.4422014899997,0.9452490918338299,176,391,1.5496832,-0.008400672,800768,218249.78941369057,37636096,0.110666916
0.104001135,0.7135555,856.81,1728.98526559,0.8249621242284775,175,392,1.5267042,-0.009918971,802816,218798.22607016563,37732352,0.47840768
0.09314886,0.74144727,717.95,1533.1818132499998,0.9553795270621777,178,393,1.5497935,-0.008389234,804864,219336.00757694244,37828608,0.11525648
0.06501241,0.74611974,771.83,1587.64496535,0.7817103117704391,179,394,1.5381707,-0.008933925,806912,219872.6288049221,37924864,0.6053974
0.07308964,0.7183656,837.89,1518.65173579,0.9532163254916668,177,395,1.5461111,-0.009846027,808960,220415.54088449478,38021120,0.101992555
0.07357193,0.7270118,735.27,1576.4709225500005,0.9562201127409935,178,396,1.5390781,-0.008068079,811008,220955.7713239193,38117376,0.09445508
0.07652145,0.74193555,785.21,1724.38039719,0.8241004794836044,178,397,1.5446566,-0.007757467,813056,221495.82825517654,38213632,0.4781328
0.07431667,0.7259625,885.32,1573.6093494700003,0.8034093827009201,178,398,1.5416167,-0.008559345,815104,222035.37875175476,38309888,0.4828365
0.084148206,0.7175942,748.63,1629.7035787200002,0.9550831690430641,176,399,1.5036811,-0.008528626,817152,222580.77124929428,38406144,0.09800524
0.119811006,0.70522875,899.35,1602.4673033600002,0.8003988713026047,177,400,1.540122,-0.007474573,819200,223123.13065505028,38502400,0.48057076
0.088374615,0.7565892,874.95,1725.0811019599998,0.9574808664619923,177,401,1.5666523,-0.0070118993,821248,223665.76059818268,38598656,0.108504325
0.07316179,0.7312012,841.92,1665.1409106,0.9533423371613026,176,402,1.5292945,-0.009447205,823296,224209.8919620514,38694912,0.13668305
0.07664396,0.70769876,866.83,1525.0397964299998,0.958368793129921,177,403,1.5636497,-0.008629519,825344,224752.815117836,38791168,0.09075249
0.06641355,0.72151345,769.74,1663.88067089,0.827875480055809,178,404,1.5461183,-0.008646183,827392,225290.61211252213,38887424,0.48076925
0.08579361,0.7274352,854.3,1633.8601929499998,0.789841040968895,177,405,1.5625358,-0.008707387,829440,225833.10940647125,38983680,0.47375298
2.1222937,0.7857588,794.71,1280.90996232,0.9570774175226688,177,406,1.5589603,-0.0056737433,831488,226375.39950084686,39079936,0.093222596
0.074863255,0.7181864,944.22,1564.8962800400002,0.9178212955594063,177,407,1.4910443,-0.01083523,833536,226917.7530632019,39176192,0.14169912
0.070720315,0.746273,698.8,1452.61672781,0.7620021551847458,176,408,1.5829548,-0.008967768,835584,227461.9535009861,39272448,0.42842776
0.068972595,0.75089085,899.9,1353.10825821,0.9381349943578243,176,409,1.5622636,-0.008959741,837632,228008.0831053257,39368704,0.104161635
3.324943,0.75774497,740.49,1421.8625397999997,0.7973332852125168,177,410,1.5257119,-0.009791213,839680,228549.10768175125,39464960,0.45442662
0.10622003,0.7052184,794.26,1420.1401511200002,0.7672460824251175,178,411,1.5518413,-0.0058446405,841728,229088.35796666145,39561216,0.45709318
1.7195048,0.7293779,994.44,1585.79662925,0.7905021458864212,177,412,1.5339909,-0.008849939,843776,229631.01613426208,39657472,0.46778473
0.57891196,0.72694427,743.53,1372.11358437,0.9475457705557346,176,413,1.5247061,-0.009050688,845824,230175.12904667854,39753728,0.08005562
0.094711274,0.7452678,955.78,1344.9358016600004,0.9283470511436462,177,414,1.5470407,-0.0070346156,847872,230718.92869400978,39849984,0.096821755
0.09545268,0.7417382,744.02,1257.5985757300002,0.9534360282123089,177,415,1.5389739,-0.009181866,849920,231260.19034957886,39946240,0.069984995
0.08095924,0.685617,949.6,1524.0943610900001,0.769898533821106,178,416,1.5317436,-0.008346332,851968,231798.9834496975,40042496,0.49527493
0.076998405,0.69744486,693.03,1346.67109162,0.7527844607830048,178,417,1.5516286,-0.008312906,854016,232339.69809246063,40138752,0.4263495
0.0852959,0.7507766,966.46,1559.0133720299998,0.9412414059042931,179,418,1.5597854,-0.010783538,856064,232874.92659187317,40235008,0.10705671
0.06559305,0.73630214,719.44,1580.04758444,0.9466395638883114,178,419,1.5577371,-0.009863115,858112,233414.53760051727,40331264,0.10823648
0.058356818,0.76089025,845.03,1658.77602594,0.7847954332828522,178,420,1.5703552,-0.009122748,860160,233954.7374587059,40427520,0.47252575
0.068270504,0.7400318,749.8,1573.6448913999996,0.9346419721841812,177,421,1.5655265,-0.009695706,862208,234497.0483751297,40523776,0.12931558
0.09062479,0.81308955,839.31,1389.9046941999995,0.9546501114964485,177,422,1.5772665,-0.009468151,864256,235038.81942415237,40620032,0.079233274
0.09515407,0.7579164,790.49,1468.07695444,0.9380600303411484,178,423,1.5559747,-0.009037936,866304,235576.67222619057,40716288,0.09902371
0.09118497,0.75341535,817.53,1435.5281285499993,0.9479385875165462,179,424,1.5706532,-0.00965348,868352,236112.66589426994,40812544,0.0851061
0.10772407,0.74553275,877.36,1608.07361653,0.942780751734972,179,425,1.5548025,-0.009922663,870400,236648.85853862762,40908800,0.12526987
0.08728094,0.7441562,779.35,1379.49051348,0.9564498104155064,179,426,1.5892155,-0.008448131,872448,237186.78879451752,41005056,0.06699231
0.084545664,0.73669434,974.01,1601.25254951,0.9502555541694164,180,427,1.5597088,-0.009799515,874496,237721.10739922523,41101312,0.10830369
0.36151344,0.7377436,843.53,1591.55395039,0.7712638229131699,177,428,1.5561036,-0.007228935,876544,238262.79880452156,41197568,0.4592784
0.07068834,0.7174566,888.53,1480.04916348,0.9445082023739815,179,429,1.5545884,-0.009046931,878592,238799.05534148216,41293824,0.1060048
0.06344133,0.7123426,708.27,1529.9074323,0.9586501978337765,179,430,1.5795473,-0.008962997,880640,239335.24999928474,41390080,0.07111183
0.086469814,0.75127006,867.17,1521.80098885,0.9447707608342171,179,431,1.5491931,-0.009283766,882688,239872.7078280449,41486336,0.11205084
0.08685515,0.73133105,764.71,1588.59190115,0.9454464018344879,178,432,1.5441117,-0.007711893,884736,240411.12361311913,41582592,0.10428934
0.082759835,0.72171605,829.57,1419.33207008,0.9518796131014824,178,433,1.5433174,-0.00851806,886784,240950.84297394753,41678848,0.114408836
0.0806311,0.73665535,965.78,1738.4228114200002,0.7910793572664261,178,434,1.5569434,-0.008666203,888832,241489.9883365631,41775104,0.4617437
0.068426795,0.72648716,669.99,1472.16614406,0.9540154114365578,179,435,1.5529597,-0.00850442,890880,242027.21177363396,41871360,0.08053866
0.09276739,0.73659825,1072.82,1524.2659253199997,0.9379550963640213,179,436,1.5529268,-0.009347385,892928,242563.78804898262,41967616,0.11512793
0.06009457,0.7291208,653.37,1664.17596822,0.958317693322897,179,437,1.5597111,-0.006709727,894976,243099.79751348495,42063872,0.09571807
0.08958682,0.73101157,882.7,1461.56888249,0.9376036003232002,179,438,1.5535197,-0.0075227753,897024,243635.8412091732,42160128,0.13055183
0.065304704,0.7522908,870.51,1474.83144071,0.9462065696716309,177,439,1.5736754,-0.009259015,899072,244178.2473692894,42256384,0.08324558
0.072173916,0.7353957,767.32,1509.5868111699997,0.9483409970998764,178,440,1.5305388,-0.010232234,901120,244716.19457650185,42352640,0.1226322
0.07824005,0.7525323,751.25,1320.75055613,0.9552590809762478,179,441,1.5472955,-0.008843149,903168,245253.88683700562,42448896,0.09296672
0.06154579,0.72479117,676.7,1355.6191288400003,0.9456824772059917,179,442,1.541059,-0.009211913,905216,245790.81251478195,42545152,0.10575298
0.07451169,0.68038094,880.34,1577.67421719,0.7942746877670288,178,443,1.5146269,-0.008078413,907264,246330.43601036072,42641408,0.4526532
0.07754743,0.71697086,853.46,1534.9080513699998,0.9416319243609905,179,444,1.5535265,-0.010185332,909312,246867.150816679,42737664,0.10812989
0.05431564,0.74979484,986.09,1609.29075716,0.9430171959102154,179,445,1.5759137,-0.010787454,911360,247404.823928833,42833920,0.11126641
0.083844416,0.7166151,810.61,1436.3569020200002,0.94668198376894,178,446,1.5835359,-0.007196272,913408,247944.92867565155,42930176,0.07962325
0.06023084,0.73328155,1058.66,1845.2487250700003,0.7104672491550446,178,447,1.5665799,-0.00854958,915456,248483.11779618263,43026432,0.875397
0.055205315,0.7169865,766.47,1431.1126727800001,0.7756546437740326,178,448,1.5910757,-0.0065661427,917504,249022.87188959122,43122688,0.44383225
